!id,description
acer,ACER
adv,Advantech
amazon,Amazon
apc,APC
apple,Apple
asante,Asante
asus,ASUS
aten,ATEN
axis,AXIS
barix,Barix
brother,Brother
buffalo,Buffalo
compaq,COMPAQ
dec,DEC
dell,Dell
dlink,D-Link
emachines,e-machines
epson,Epson
eyefi,Eye-Fi
ezcast,WiFi EZcast
fitpc,Fit-PC
fujitsu,Fujitsu
gateway,GateWay
google,Google
hp,Hulett Packerd
ibm,IBM
iodata,IO-Data
kuro,Kuroto Shiko
lantronix,Lantronix
lnksys,Linksys
microsoft,Microsoft
mitsubishi,Mitsubishi
netgear,Netgear
ni,National Instruments
nintendo,Nintendo
omron,Omron
panasonic,Panasonic
proside,Proside
pulizzi,PULIZZI
qnap,QNAP
samsung,Samsung
shuttle,Shuttle
sony,Sony
startech,StarTech
sun,SUN
supermicro,Supermicro
systemax,SysteMax
uniden,Uniden
visio,VISIO
vm,Vmware(Virtual)
